inkml_file_path,audio_file_path,latex_ground_truth,spoken_text
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_026_E201.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_026_E201.mp3,H_1(x)=x-x_0,H sub 1x equals x minus x sub 0
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_720_E3596.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_720_E3596.mp3,\frac{1}{n}\sum_jq_j,fraction start 1 end start n end sum from sub jq sub j
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_009_E68.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_009_E68.mp3,a=cb^{-1}-bab^{-1},a equals cb to the power of start minus 1 end minus bab to the power of start minus 1 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_190_E948.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_190_E948.mp3,c=-(b+2a),c equals minus b plus 2a
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_709_E3541.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_709_E3541.mp3,x=\sum_{0}^{\infty}a_{j}(t-t_{0})^{j-1},x equals sum from sub start 0 end to the power of start in fty end a sub start j end t minus t sub start 0 end to the power of start j minus 1 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_789_E3944.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_789_E3944.mp3,(-x)^{-a}\log x,minus x to the power of start minus a end log x
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_782_E3910.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_782_E3910.mp3,f(z)=az+b,fz equals az plus b
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_092_E733.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_092_E733.mp3,\frac1{n+k},fraction 1 start n plus k end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_177_E885.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_177_E885.mp3,\frac{5}{768},fraction start 5 end start 768 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_001_E5.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_001_E5.mp3,e^{k(u)}= \frac{e^{2 u}-b^2}{e^{2 u}+b^2},e to the power of start ku end equals fraction start e to the power of start 2 u end minus b to the power of 2 end start e to the power of start 2 u end plus b to the power of 2 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_698_E3490.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_698_E3490.mp3,N = \frac{(k+1)(k+2)(k+3)}{6},N equals fraction start k plus 1k plus 2k plus 3 end start 6 end
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_721_E3604.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_721_E3604.mp3,t^2+u^2-x^2-y^2=1,t to the power of 2 plus u to the power of 2 minus x to the power of 2 minus y to the power of 2 equals 1
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_035_E278.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_035_E278.mp3,x \rightarrow x,x arrow x
/content/drive/MyDrive/capstone_project/CROHME_2023/train/CROHME2023_train/form_5_195_E971.inkml,/content/drive/MyDrive/capstone_project/CROHME_2023/train_speech/form_5_195_E971.mp3,2\pi b(a+c)/\sqrt{ac},2 pi ba plus c/ square root of start ac end
